,,,,,,,,,
Store,item,price,type,Cal,pic,,,,
85度C,葡萄奶酥,$28,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E8%91%A1%E8%90%84%E5%A5%B6%E9%85%A5.jpg,,,,
85度C,烤火腿圈,$28,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E7%83%A4%E7%81%AB%E8%85%BF%E5%9C%88.jpg,,,,
85度C,乳酪條,$28,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E4%B9%B3%E9%85%AA%E6%A2%9D.jpg,,,,
85度C,焗烤夏威夷,$26,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E7%84%97%E7%83%A4%E5%A4%8F%E5%A8%81%E5%A4%B7.jpg,,,,
85度C,奶油燒,$26,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E5%A5%B6%E6%B2%B9%E7%87%92.jpg,,,,
85度C,蜂蜜果乾麵包,$25,麵包,,http://www.85cafe.com/file/product/w500/%E8%9C%82%E8%9C%9C%E6%9E%9C%E4%B9%BE%E9%BA%B5%E5%8C%85-0.jpg,,,,
85度C,菠蘿奶油包,$25,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E8%8F%A0%E8%98%BF%E5%A5%B6%E6%B2%B9%E5%8C%85.jpg,,,,
85度C,蔥花,$24,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E8%94%A5%E8%8A%B1.jpg,,,,
85度C,香蔥肉脯,$24,麵包,,http://www.85cafe.com/file/product/w500/%E9%A6%99%E8%94%A5%E8%82%89%E8%84%AF-0.jpg,,,,
85度C,花生夾心,$24,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E8%8A%B1%E7%94%9F%E5%A4%BE%E5%BF%83.jpg,,,,
85度C,楓糖方塊,$22,麵包,,http://www.85cafe.com/file/product/w500/%E6%A5%93%E7%B3%96%E6%96%B9%E5%A1%8A-0.jpg,,,,
85度C,海苔肉鬆,$22,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E6%B5%B7%E8%8B%94%E8%82%89%E9%AC%86.jpg,,,,
85度C,香片花生,$22,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E9%A6%99%E7%89%87%E8%8A%B1%E7%94%9F.jpg,,,,
85度C,芋頭麵包,$22,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E8%8A%8B%E9%A0%AD%E9%BA%B5%E5%8C%85.jpg,,,,
85度C,菠蘿,$20,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E8%8F%A0%E8%98%BF.jpg,,,,
85度C,田園三鮮,$20,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E7%94%B0%E5%9C%92%E4%B8%89%E9%AE%AE.jpg,,,,
85度C,奶酥麵包,$20,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E5%A5%B6%E9%85%A5%E9%BA%B5%E5%8C%85.jpg,,,,
85度C,牛奶布丁,$18,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E7%89%9B%E5%A5%B6%E5%B8%83%E4%B8%81.jpg,,,,
85度C,牛奶糖吐司,$65,麵包,,http://www.85cafe.com/file/product/w500/%E7%89%9B%E5%A5%B6%E7%B3%96%E5%90%90%E5%8F%B8.jpg,,,,
85度C,菠蘿吐司,$65,麵包,,http://www.85cafe.com/file/product/w500/%E5%90%90%E5%8F%B8-%E8%8F%A0%E8%98%BF%E5%90%90%E5%8F%B8.jpg,,,,
85度C,鮮奶吐司,$45,麵包,,http://www.85cafe.com/file/product/w500/%E5%90%90%E5%8F%B8-%E9%AE%AE%E5%A5%B6%E5%90%90%E5%8F%B8.jpg,,,,
85度C,胚芽吐司,$40,麵包,,http://www.85cafe.com/file/product/w500/%E5%90%90%E5%8F%B8-%E8%83%9A%E8%8A%BD%E5%90%90%E5%8F%B8.jpg,,,,
85度C,起士火腿吐司 (半條),$35,麵包,,http://www.85cafe.com/file/product/w500/%E5%90%90%E5%8F%B8-%E8%B5%B7%E5%A3%AB%E7%81%AB%E8%85%BF%E5%90%90%E5%8F%B8(%E5%8D%8A%E6%A2%9D).jpg,,,,
85度C,白吐司,$35,麵包,,http://www.85cafe.com/file/product/w500/%E5%90%90%E5%8F%B8-%E7%99%BD%E5%90%90%E5%8F%B8.jpg,,,,
85度C,鹽可頌,$25,麵包,,http://www.85cafe.com/file/product/w500/%E9%B9%BD%E5%8F%AF%E9%A0%8C.jpg,,,,
